,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
3232,75.42854,78.52696,6.5155826,23.607882,3.8692017,622.9681,82.49487,152.07599,169.82614
3233,75.03575,78.3682,6.4192085,23.538086,3.8347938,626.07214,82.0288,152.38788,167.2715
3234,75.319984,79.464836,6.0063763,23.295624,3.8578718,624.421,81.672745,152.598,164.97673
3235,75.83774,79.85635,5.648516,23.635775,3.8334723,625.8315,83.04054,153.05405,165.00714
3236,75.65923,80.080246,5.386748,23.904964,3.8351307,632.3388,85.309364,153.1243,167.54169
3237,75.58766,80.20746,5.0983133,23.805511,3.8261569,634.038,84.867615,153.47995,169.079
3238,76.297226,79.40503,5.016409,23.812685,3.7956657,637.87067,84.17599,153.96497,171.3495
3239,76.80178,79.205956,5.1265845,23.755127,3.7986212,644.026,85.04821,154.34431,169.71078
3240,77.39533,79.72758,4.779045,23.697746,3.7938385,651.5883,85.187904,154.83946,171.86276
3241,78.145905,80.28734,4.677447,23.964657,3.7970064,653.4303,84.06387,155.3095,169.84831
