,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2652,103.83026,119.792206,57.00947,50.02252,43.622932,86.68575,36.268585,115.030205,48.24737,42.288116
2653,105.38091,120.31058,57.60227,51.393055,43.837337,86.82221,35.98875,117.28644,49.235073,42.703583
2654,106.00823,119.88613,57.750072,51.14468,43.84458,86.40102,35.680843,116.99343,49.41373,41.899986
2655,106.511505,119.65607,57.611687,51.796627,43.340477,87.29658,35.401516,116.64552,49.283936,41.852306
2656,107.15912,121.30775,58.257763,51.856476,43.791748,87.35817,35.38109,118.36793,50.135666,41.505642
2657,106.55431,120.64508,57.96405,51.40966,43.646656,86.870056,34.897858,116.83239,50.52949,41.462524
2658,105.20078,119.04043,56.86577,51.154007,43.622166,87.4604,34.71724,115.2729,50.86453,41.078846
2659,104.59353,118.823814,55.957573,50.279762,43.581432,87.42706,34.298046,114.29782,50.158497,40.65639
2660,104.97811,118.10892,56.24857,50.01272,43.57754,87.58016,34.184525,113.60069,50.338856,40.05713
2661,104.51526,116.87758,56.958652,49.953808,43.55859,87.49897,34.07993,112.43533,50.15205,39.845844
2662,103.2435,116.72842,56.963963,49.424442,43.633175,88.14408,34.058064,111.84015,50.77065,39.712605
2663,103.74102,118.00155,58.057686,49.41071,43.564484,88.192924,34.340782,112.05086,50.930023,39.65285
2664,103.418785,118.306244,59.98547,49.608814,43.02333,89.12931,34.48657,113.321724,50.7838,39.20319
2665,103.93475,119.065094,60.422005,49.91338,42.528137,90.223755,34.644382,113.50649,50.97595,39.610237
2666,105.13869,120.16008,60.43215,50.2255,42.135715,90.51786,34.77774,114.4507,50.910225,40.036148
2667,106.165665,119.46244,60.075954,50.350494,41.394108,90.726616,34.796593,113.63669,50.75634,39.655655
2668,104.59225,117.58356,60.64068,50.295994,40.33532,90.23444,34.62039,112.66756,49.89022,39.323414
2669,104.162796,116.80558,61.018127,50.00438,39.349613,89.86441,34.429844,111.52726,49.97597,38.927467
2670,103.56765,116.05915,59.756054,49.734577,38.97044,89.60827,34.203533,111.09072,48.783295,38.41747
2671,102.966576,115.56612,60.06213,49.15755,38.310776,88.221886,34.14168,111.5025,48.88205,38.148727
