,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
3048,109.824554,129.77452,70.00581,48.345764,52.33986,85.6345,48.036037,111.949196,58.420624,77.25579
3049,109.450806,130.56195,70.26353,49.124207,52.54496,85.75981,48.103004,112.03473,58.689617,77.751305
3050,109.223114,131.22504,70.32541,49.92332,52.369698,85.938866,48.249836,112.03567,59.026318,77.80702
3051,109.40611,131.99828,70.39006,50.557137,52.261063,86.427574,48.28591,112.19373,59.30437,78.13239
3052,109.5547,132.39285,70.40549,51.044582,52.460464,86.510345,48.225533,112.37052,59.58651,78.31257
3053,109.44134,132.02576,70.40257,51.069317,52.143078,86.97433,48.15413,112.67804,59.74151,78.49107
3054,109.39808,131.58226,70.25274,50.367287,52.39487,87.18044,47.97799,112.90183,59.89625,78.85507
3055,109.68341,131.30606,70.510635,50.027855,52.321854,87.129166,47.868423,113.357025,60.034557,78.595505
3056,109.753586,130.70584,70.43358,49.651287,52.433342,87.78672,47.88184,113.64474,59.93833,78.32244
3057,109.487434,130.31348,70.47208,49.33811,52.5943,88.30415,47.942577,113.95025,60.2033,78.652596
3058,109.433815,130.1077,70.4535,49.097897,52.815453,88.75713,48.244583,114.23472,60.311768,79.266685
3059,109.8195,129.55127,70.43357,48.78158,53.26523,89.5999,48.50733,114.41075,60.493607,79.221146
3060,110.30669,128.85918,70.11097,48.42143,53.714382,90.09021,48.579647,114.57243,60.761154,78.81138
3061,110.23165,128.37584,69.709465,47.93563,53.798553,90.74163,48.58065,114.517235,60.953735,80.060135
3062,110.015045,127.6442,69.512596,47.66299,54.11511,91.207184,48.442944,114.86038,61.085724,80.599556
3063,110.05865,127.384125,69.39688,47.26998,54.420033,91.0695,48.36691,115.13558,61.31914,81.10529
3064,109.68565,127.07222,69.25914,47.242165,54.573868,91.18037,48.257908,115.32004,61.248833,81.7047
3065,109.35521,127.44515,69.03902,47.499,54.74096,91.19204,48.00177,115.346794,61.435722,82.6779
3066,109.17812,130.54822,69.13186,47.77454,54.963287,91.00296,47.751278,115.41471,61.635334,82.82518
3067,109.72146,133.74968,69.185074,47.80042,55.37507,90.85295,47.461914,115.53445,61.912453,83.52249
3068,110.06917,135.67381,68.90057,47.50304,55.564236,90.48878,47.10998,115.4675,61.95473,83.332565
3069,110.33943,136.98877,68.51245,47.118893,55.433224,90.21525,47.015568,115.254036,62.1435,82.174995
3070,109.986565,136.81749,68.19327,46.71763,55.431057,90.10882,46.850883,114.86819,62.052315,81.75407
3071,109.869026,136.41995,67.84497,46.773346,55.43729,89.86862,46.77964,114.81523,62.096684,82.2925
3072,109.65618,136.42213,67.785835,46.76984,55.6056,89.84153,46.755684,114.86924,62.202488,82.47195
3073,109.05332,135.37976,67.48346,46.25584,55.548832,89.49582,46.646133,114.32372,62.010162,82.38434
3074,108.55539,134.5503,67.287674,46.02219,55.768055,89.05265,46.49097,114.03842,61.694138,82.67988
3075,108.15892,134.4164,66.953545,45.439865,55.732704,88.746925,46.46955,113.86964,61.438095,83.401146
3076,108.485916,135.57533,66.81331,45.63227,55.92427,88.56865,46.46022,113.71126,61.339172,84.11458
3077,108.39199,135.87895,66.81103,45.842278,55.97305,88.0448,46.288914,114.0327,61.286144,84.60721
3078,107.907974,136.92105,66.53164,45.472332,56.286884,87.46968,46.295666,114.016655,61.42253,85.23473
3079,106.89628,135.94756,66.21506,45.100674,56.213078,86.51755,46.1646,113.66272,61.409832,83.42949
3080,106.292274,133.61562,65.93128,44.929802,55.377537,85.86605,46.10241,112.85689,61.361385,83.48428
3081,105.885796,132.22874,66.006035,44.67017,54.72011,85.383965,46.119583,112.76029,61.25193,83.16347
3082,105.37794,131.66473,65.76998,44.286583,54.17896,85.12886,46.314236,112.52455,61.320652,83.26097
3083,104.97444,132.61356,65.789925,44.013462,53.970867,84.99998,46.298,112.48919,61.44932,82.89934
3084,104.82354,133.15633,65.43861,43.853004,53.89472,85.629875,46.446426,112.592026,61.673744,83.83518
3085,105.242035,134.84332,65.44011,43.96494,53.82074,86.05498,46.695442,112.40862,62.011528,84.484146
3086,105.11352,134.24376,64.85977,43.480106,53.60961,86.549774,46.69797,112.4944,61.27143,84.74528
3087,105.11544,131.98747,64.50021,43.432995,53.044872,86.92461,46.845654,112.225845,60.572903,84.87015
3088,105.12611,130.33186,64.41288,43.18906,52.700714,87.60746,47.14402,112.423134,60.019825,85.11709
3089,105.174805,129.59264,64.271164,42.74179,52.64252,88.07749,47.3549,112.61137,59.948616,85.88338
3090,105.22225,130.49248,64.25977,42.56616,52.683918,88.861435,47.617603,112.932724,60.1342,87.3293
3091,105.26811,131.62721,64.38561,42.396088,52.77004,89.16968,47.883278,112.95128,60.49631,87.82798
3092,105.39297,133.03212,65.06697,42.76013,53.168716,89.44488,48.040825,113.5139,60.709305,88.48762
3093,105.753365,135.10016,65.24293,43.033016,53.083702,89.93768,48.150566,113.60643,60.896774,89.621056
3094,106.30106,137.0598,65.371254,43.465393,53.210186,90.10536,48.198566,113.79281,60.78708,90.15282
3095,106.79526,138.29115,65.3517,43.7445,53.349747,90.00745,48.20149,114.128044,60.739616,90.293304
3096,106.77114,139.30457,65.75615,43.994125,53.66491,90.02565,48.176548,114.62196,60.793674,90.41325
3097,106.7716,139.57248,65.709366,44.128418,53.88667,89.67171,48.272743,115.347244,60.776344,90.8961
3098,106.9472,140.36017,66.03169,44.18128,53.80481,89.61218,48.31882,115.70747,60.668022,91.177986
3099,107.272865,141.54814,66.04215,43.990536,53.786266,89.447426,48.51579,116.25924,60.602997,92.679955
3100,107.161705,141.55565,66.044304,43.826927,52.660885,89.1802,48.501564,116.128555,60.34833,93.93112
3101,107.191315,141.05116,65.91466,43.184757,51.811005,88.58617,48.377045,116.202835,60.18534,94.88496
3102,107.04905,140.04417,65.14754,41.886536,50.992012,88.13335,48.046574,115.99609,60.1308,94.67851
3103,106.71569,138.4239,64.27716,41.057007,50.171658,87.04926,47.59484,115.71931,59.85355,93.96757
3104,106.09568,137.377,64.32559,40.35834,49.685352,85.76662,47.216885,115.38213,59.397175,93.08946
3105,105.09054,136.9501,64.57115,39.947346,48.440285,84.523796,46.94666,115.22265,58.93681,91.910866
3106,104.18368,136.27728,64.489,39.44177,47.42776,83.79476,46.67411,114.76535,58.335304,90.68326
3107,103.54195,135.94409,64.47684,38.7502,46.61587,83.07099,46.33141,114.381226,57.96262,88.79868
3108,103.14699,136.36613,63.97072,38.38569,46.261856,82.59664,46.216244,114.360634,58.08259,87.726105
3109,102.56989,136.7547,63.727306,38.244507,44.96747,82.2746,46.168354,114.38098,58.47328,87.093155
3110,102.50794,137.35977,63.442364,37.89139,44.36473,82.07987,46.18807,114.63884,58.671494,85.70892
3111,102.77235,138.4423,64.118744,37.80607,43.710835,82.57253,46.50899,115.05124,59.33483,84.430534
3112,102.75767,139.80652,64.46255,38.077515,43.27041,83.04416,46.716106,115.41475,59.52298,83.93801
3113,102.43446,140.31393,64.2543,38.093235,43.06116,83.24888,46.645744,115.51255,59.601887,83.90007
3114,102.23981,140.41711,64.35378,37.883278,42.290203,83.64884,46.741955,115.69209,59.71387,83.94352
3115,102.365,140.581,64.453354,37.806988,41.84774,83.8836,47.03309,115.660355,59.868973,83.14749
3116,102.60465,140.77443,64.72459,37.55132,41.334713,84.04081,47.19272,115.82013,60.39649,82.65239
3117,102.45567,140.2247,64.83842,37.133255,41.38099,84.14233,47.319073,116.22889,60.587624,82.44135
3118,102.4843,139.45457,65.10637,36.988937,41.126717,84.077065,47.53395,116.33881,60.720936,81.790955
3119,102.72539,139.65288,65.30293,37.15186,40.792118,84.15583,47.635113,116.55599,60.815914,80.747406
3120,102.77648,140.28319,65.6939,37.294384,40.44568,84.37793,47.748802,116.82931,60.73892,80.782455
3121,102.81661,140.77737,65.46498,37.573734,40.587975,84.434715,47.9062,117.01218,60.674927,80.544945
3122,102.922134,140.91055,65.75601,37.635445,40.50439,84.355576,47.887257,117.1896,60.644775,80.445145
3123,102.72076,139.95074,65.504005,37.34147,40.327976,84.39187,47.855274,117.21855,60.40396,80.32804
3124,102.752846,139.53459,65.31645,37.598797,40.713425,84.425804,47.80265,117.30434,60.322395,79.98562
3125,102.907684,140.05103,65.298454,37.889347,40.361713,84.63203,47.853016,117.303024,60.20417,79.53981
3126,102.91715,139.34125,65.431725,38.018627,40.652325,84.31025,47.7587,117.185814,59.936848,79.61711
3127,103.14822,136.36913,65.62166,38.846386,40.789173,84.55411,47.831593,117.00888,59.95495,80.511604
3128,103.07861,133.9562,65.78756,39.45659,40.875137,84.5055,47.726578,117.12501,59.80178,81.246185
3129,103.1849,131.07574,65.758125,39.668816,40.956203,84.93217,47.646374,117.07481,59.679764,81.61092
3130,103.25582,129.85242,66.36164,39.73612,41.304543,85.228615,47.575806,116.99806,59.50525,81.97423
3131,103.31529,128.94649,66.71179,39.68432,41.630768,85.19386,47.633366,116.98019,59.578743,83.26851
3132,103.0171,128.03604,66.7433,39.503063,41.993366,85.35071,47.695576,117.07839,59.628925,83.3755
3133,102.980225,127.97475,67.02164,39.71892,42.574696,85.86197,47.64211,117.25779,59.858982,83.29773
3134,103.20226,127.81493,67.30295,39.958725,42.52853,85.86448,47.576263,117.54226,60.22076,84.31997
3135,103.19391,128.63493,67.59912,39.516697,42.71675,86.209656,47.471466,117.82095,60.506374,86.25506
3136,103.19683,129.43048,67.88621,38.88208,42.89131,85.90645,47.38384,118.134544,60.873043,86.65968
3137,103.25854,130.18066,68.13302,38.113052,43.22215,85.74388,47.22362,118.55182,60.936207,87.96666
